"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"C12orf48",2.42973649689441,-5.45081064705882,4.96381774282781,8.4251614450648e-06,0.172816911561169,2.38598735962383,"C12orf48"
"GPA33",3.36160987701863,2.18125637019608,4.60507045269316,2.86276653918384e-05,0.270042231487461,1.51165000166421,"GPA33"
"C5orf54",2.59838491782609,-1.89721508019608,4.3507035679998,6.69039992383554e-05,0.270042231487461,0.901364880344945,"C5orf54"
"BICC1",-4.84701823298137,-1.03976744372549,-4.34559090238415,6.80432995762028e-05,0.270042231487461,0.889201255090951,"BICC1"
"ZNF75A",2.21797445341615,-4.7222947254902,4.26804041374849,8.78261654371439e-05,0.270042231487461,0.705253741666041,"ZNF75A"
"ANKS4B",-2.09193088467816,-6.9116196093791,-4.26251606708215,8.94315632657908e-05,0.270042231487461,0.692190913561913,"ANKS4B"
"SNHG6",1.27100525857143,-0.144692606078431,4.2533594140084,9.21555977190048e-05,0.270042231487461,0.670551438275975,"SNHG6"
"C15orf29",2.67558970807453,-5.11032294117647,4.12286449972856,0.000140941593125999,0.342612957275833,0.363896318353103,"C15orf29"
"C20orf194",-1.87205213664597,-7.03814209803922,-4.102920317931,0.000150327448102696,0.342612957275833,0.317328034524976,"C20orf194"
"ELAC1",0.802334289068323,0.836608820980392,4.06455835902553,0.000170113349089608,0.348936501652604,0.227990540162328,"ELAC1"
"PDCD10",2.65562651118012,-3.26265332941176,4.03259925345346,0.000188502561820583,0.351505868005799,0.153805957309218,"PDCD10"
"ALMS1",2.3915398068368,-1.56004324203157,3.9642227291818,0.000234530350848767,0.400890546384158,-0.00414617849660193,"ALMS1"
"TAS2R50",2.76020167763975,-3.25566548431373,3.81749103000363,0.000372769269602369,0.445531370166062,-0.339351059231511,"TAS2R50"
"KAL1",-4.0745454731677,-4.40760794,-3.79969400825806,0.00039411277345171,0.445531370166062,-0.379639859342916,"KAL1"
"USP6NL",1.70405716149068,3.48832594117647,3.78824703370258,0.000408457118791313,0.445531370166062,-0.405509622544518,"USP6NL"
"AP4S1",1.10211518865763,2.07866599980132,3.78716506539382,0.000409838632597172,0.445531370166062,-0.407953045718568,"AP4S1"
"GPR55",2.57494002229814,-1.20641463823529,3.76805392047506,0.000434994369116679,0.445531370166062,-0.451060740057782,"GPR55"
"UBR5",0.46719137267081,6.56447921568627,3.76335667092544,0.000441400917070603,0.445531370166062,-0.461641065636928,"UBR5"
