"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"APCS",-2.7719177275775,-5.59139045886392,-4.74462533406383,1.84681822804751e-05,0.378819354937105,0.098531913305643,"APCS"
"TGS1",-5.86156938285714,-1.40345295607843,-4.35881845499412,6.68796451241261e-05,0.391865179356082,-0.534896384460369,"TGS1"
"FAM66A",-3.30879044,-6.56321899215686,-4.31487810959977,7.72516325456402e-05,0.391865179356082,-0.606575229525977,"FAM66A"
"ANKS4B",2.32295554700094,-6.9116196093791,4.26471033702312,9.10145451390446e-05,0.391865179356082,-0.688251767431601,"ANKS4B"
"KRT18",-7.70500986285714,-2.56679044,-4.24988110143689,9.55209583063772e-05,0.391865179356082,-0.712359732611999,"KRT18"
"CCDC154",-1.87621014442857,-0.120267388235294,-4.06754045181316,0.00017212843462891,0.569565074526536,-1.00729647561794,"CCDC154"
"DRP2",-3.01972279857143,-1.98792189019608,-4.02950933050939,0.000194371856556443,0.569565074526536,-1.06842066060199,"DRP2"
"BIN3",-0.624730785714289,4.12632703921569,-3.95886370326624,0.000243296605768797,0.597749231939893,-1.18155539789877,"BIN3"
"PRSS50",-4.08566568571428,-5.82174849019608,-3.92107419904253,0.00027415465449865,0.597749231939893,-1.24184167283309,"PRSS50"
"TMEM106C",-3.72175989,-5.94054774705882,-3.8770276655289,0.000314901488560424,0.597749231939893,-1.31189376689369,"TMEM106C"
"MST1",-2.42340212142857,-1.10959961182353,-3.80691088255058,0.000392070810380734,0.597749231939893,-1.4228999680885,"MST1"
"CLDN7",-2.04785601575714,-1.25820635707843,-3.76227827405898,0.000450358418522181,0.597749231939893,-1.49321619745331,"CLDN7"
"BVES",-4.367292703,-5.15635993862745,-3.7274486705015,0.000501545750119957,0.597749231939893,-1.54789233765679,"BVES"
"PIK3R6",-1.7173013,3.97904176470588,-3.71877471491246,0.000515137575932705,0.597749231939893,-1.56148134642806,"PIK3R6"
"FBXO10",-1.32988432857143,2.21973285490196,-3.71022803495167,0.000528875585323184,0.597749231939893,-1.57486003886948,"FBXO10"
"PDCD10",-2.64770572857142,-3.26265332941176,-3.70574920877804,0.000536214694820496,0.597749231939893,-1.58186668696011,"PDCD10"
