from	to
RELA	A2M
RHOB	A2M
SERPING1	A2M
KCNJ6	ABCC8
ACTC1	ACTA1
CKM	ACTA1
HIF1A	ACTA1
MMP16	ACTA1
MMP20	ACTA1
MMP28	ACTA1
MYH11	ACTA1
MYH4	ACTA1
OCLN	ACTA1
TTN	ACTA1
GRIN2B	ACTC1
MMP16	ACTC1
MMP20	ACTC1
MMP28	ACTC1
MYH11	ACTC1
MYH4	ACTC1
TPM2	ACTC1
WAS	ACTC1
SH3RF1	ADAM15
LGI1	ADAM22
F8	ADAMTS13
GNAI1	ADRA2C
GNAZ	ADRA2C
RXRA	AHRR
SNAI3	AHRR
TGS1	AHRR
APOC2	ALB
HBA1	ALB
NOS2	ALDH1A1
HIF1A	ALDOB
CC2D2A	ALMS1
FGFR1OP	ALMS1
ODF2	ALMS1
RAB3IP	ALMS1
MPDZ	AMOTL1
DNAJC6	AMPH
IL7R	AMPH
LDLRAP1	AMPH
RPS27A	AMPH
UBC	AMPH
HIF1A	ANGPT2
HIF1A	ANGPT4
GPIHBP1	ANGPTL4
HIF1A	ANGPTL4
LPL	ANGPTL4
RXRA	ANGPTL4
CLCA3P	ANO3
CLCA3P	ANO5
LRP3	APBB2
GNAI1	APLN
GPC1	APOC2
GPIHBP1	APOC2
LPL	APOC2
SDC3	APOC2
SDC4	APOC2
LIMCH1	ARHGEF15
GRB7	ARTN
IRS2	ARTN
ID1	ASCL3
ATP6V1G2	ATP6V1E2
SEH1L	ATP6V1E2
SESN1	ATP6V1E2
SEH1L	ATP6V1G2
SESN1	ATP6V1G2
DCN	B3GAT2
GPC1	B3GAT2
SDC3	B3GAT2
SDC4	B3GAT2
MUC12	B3GNT8
MUC12	B4GALT5
OGN	B4GALT5
OMD	B4GALT5
PRELP	B4GALT5
RAB3IP	BBS5
BMX	BCAR1
CSF1	BCAR1
DCC	BCAR1
GNAI1	BCAR1
GNAZ	BCAR1
IGF1	BCAR1
ITGAE	BCAR1
ITGB4	BCAR1
ITGB6	BCAR1
MAP3K1	BCAR1
NTN1	BCAR1
PTK2B	BCAR1
ETV4	BCHE
MYC	BCL2L1
REL	BCL2L1
RELA	BCL2L1
RXRA	BCL2L1
VDAC1	BCL2L1
CREB1	BDNF
GRIN2B	BDNF
SORCS3	BDNF
NACA	BGLAP
NOG	BMP6
NBL1	BMP6
NOG	BMP8B
PRKAG3	BMP8B
NBL1	BMP8B
C3	C1R
SERPING1	C1R
GNAI1	C3
PROS1	C4BPB
C9	C7
GRIN2B	CACNA1H
GRIN2C	CACNA1H
RASGRF2	CACNA1H
CACNG1	CACNA2D1
CAMK2A	CACNA2D1
RASGRF2	CACNA2D1
CAMK2A	CACNG1
RASGRF2	CACNG1
CREB1	CAMK2A
FLNB	CAMK2A
GRIN2B	CAMK2A
RASGRF2	CAMK2A
SCN5A	CAMK2A
VDAC1	CAMK2A
MAPK11	CARD9
RELA	CARD9
GNAI1	CASR
FGFR1OP	CC2D2A
ODF2	CC2D2A
RAB3IP	CC2D2A
CCL2	CCL11
CCR3	CCL11
MAP2K1	CCL11
REL	CCL11
RELA	CCL11
CCR3	CCL19
CXCL13	CCL19
GNAI1	CCL19
REL	CCL19
RELA	CCL19
CCR3	CCL2
COL18A1	CCL2
REL	CCL2
RELA	CCL2
SMAD3	CCL2
CCR3	CCL24
REL	CCL24
RELA	CCL24
CXCL13	CCR3
GNAI1	CCR3
RARRES2	CCR3
LY86	CD180
ITGB4	CD40LG
ITGB6	CD40LG
MAP3K1	CD40LG
MAPK11	CD40LG
PSMB3	CD40LG
PSTPIP1	CD40LG
REL	CD40LG
RELA	CD40LG
FLI1	CD53
WAS	CD53
CDC26	CDC20
NEUROD2	CDC20
PPP3R2	CDC20
PSMB3	CDC20
RPS27A	CDC20
SEH1L	CDC20
SKA2	CDC20
SPC25	CDC20
SYDE2	CDC20
UBC	CDC20
UBE2D1	CDC20
PPP3R2	CDC26
PSMB3	CDC26
RELA	CDC26
RPS27A	CDC26
UBC	CDC26
UBE2D1	CDC26
RHOB	CDC42BPB
PCDHA1	CDH22
PCDHA11	CDH22
PCDHA3	CDH22
PCDHAC2	CDH22
PCDHB10	CDH22
PCDHGC5	CDH22
MYC	CDR2
RPS27A	CGN
UBC	CGN
RPS27A	CHMP4B
UBC	CHMP4B
DCN	CHST7
DYNC2H1	CLUAP1
TTC21B	CLUAP1
RAB3IP	CNGA4
PDE6C	CNGB3
GHR	CNTF
IL12RB2	CNTF
IL2RB	CNTF
IL3RA	CNTF
IL7R	CNTF
OSMR	CNTF
FBN1	COL16A1
FLNB	COL16A1
ITGAE	COL16A1
ITGB4	COL16A1
ITGB6	COL16A1
PTK2B	COL16A1
LAMC1	COL18A1
MAP2K1	CPNE1
RELA	CPNE1
SEH1L	CPSF1
SMNDC1	CPSF1
THOC3	CPSF1
BDNF	CREB1
CRH	CREB1
CYP17A1	CREB1
DCC	CREB1
ETV3	CREB1
G6PC2	CREB1
HIF1A	CREB1
ID1	CREB1
ID2	CREB1
IL2	CREB1
MAP3K1	CREB1
MAPK11	CREB1
MYC	CREB1
NFATC2	CREB1
NOS2	CREB1
NOTCH2	CREB1
NPAS2	CREB1
NPC1	CREB1
NR4A3	CREB1
NR5A1	CREB1
PLAT	CREB1
RUNX1	CREB1
SMAD3	CREB1
VEGFC	CREB1
UGT8	CREB1
TINAGL1	CREB1
CRHBP	CRH
MYC	CSF1
RELA	CSF1
SEMA7A	CSF1
DCN	CSGALNACT1
GNAI1	CXCL13
SMAD3	CXXC5
NR5A1	CYP17A1
GSTM3	CYP1A2
GSTM5	CYP1A2
MGST1	CYP1A2
GSTM3	CYP2C8
GSTM5	CYP2C8
MGST1	CYP2C8
RXRA	CYP4A11
MAP3K1	DAPP1
DSCAM	DCC
MAP2K1	DCC
NTN1	DCC
IGF1	DCN
LAMC1	DCN
MYC	DCN
RPL11	DDOST
RPL24	DDOST
RPL3	DDOST
RPS18	DDOST
RPS27A	DDOST
SSR1	DDOST
VDAC1	DDOST
PLCE1	DGKA
HOMER2	DLGAP1
NLGN1	DLGAP1
HOMER2	DLGAP2
NLGN1	DLGAP2
H2AFX	DMC1
MND1	DMC1
TUBB6	DNAH3
TUBB6	DNAH5
TUBB6	DNAH7
ID1	DNAJC2
MYC	DNAJC2
IL7R	DNAJC6
LDLRAP1	DNAJC6
RPS27A	DNAJC6
UBC	DNAJC6
SMARCE1	DPF1
MAPK11	DSCAM
NTN1	DSCAM
NTN3	DSCAM
MAPK11	DUSP5
RILP	DYNC2H1
TTC21B	DYNC2H1
TUBB6	DYNC2H1
IL2RB	ECM1
RHOB	ECT2
EEF1D	EEF1A1
PABPC4	EEF1A1
RPL11	EEF1A1
RPL24	EEF1A1
RPL3	EEF1A1
RPS18	EEF1A1
RPS27A	EEF1A1
RELA	EEF1D
SUPT4H1	ELL3
NGEF	EPHA8
GHR	EPO
HIF1A	EPO
IL12RB2	EPO
IL2RB	EPO
IL3RA	EPO
IL7R	EPO
IRS2	EPO
OSMR	EPO
SH2B3	EPO
SMAD3	EPO
VAV1	EPO
MYC	ETV3
MYC	ETV4
H2AFX	EYA1
NR2E3	EYA1
NR5A1	EYA1
NR5A2	EYA1
SIX3	EYA1
SIX4	EYA1
SIX5	EYA1
SERPIND1	F13A1
HLF	F8
LMAN1	F8
SERPIND1	F8
PROS1	F8
FBN2	FBN1
ITGB6	FBN1
LAMC1	FBN1
FBXL7	FBXL20
FBXO10	FBXL20
FBXO15	FBXL20
RNF213	FBXL20
RPS27A	FBXL20
UBC	FBXL20
FBXO10	FBXL7
FBXO15	FBXL7
PSMB3	FBXL7
RNF213	FBXL7
RPS27A	FBXL7
UBC	FBXL7
FBXO15	FBXO10
RNF213	FBXO10
RPS27A	FBXO10
UBC	FBXO10
RNF213	FBXO15
RPS27A	FBXO15
UBC	FBXO15
NFATC2	FCER1A
VAV1	FCER1A
MASP1	FCN2
FLRT3	FGF17
RPS27A	FGF17
UBC	FGF17
ODF2	FGFR1OP
RAB3IP	FGFR1OP
ID2	FLI1
NR5A1	FLI1
RUNX1	FLI1
SMAD3	FLI1
ITGAE	FLNB
ITGB4	FLNB
ITGB6	FLNB
MYOZ1	FLNB
PTK2B	FLNB
SMAD3	FOXH1
MAP2K1	FOXP3
NFATC2	FOXP3
RORC	FOXP3
RUNX1	FOXP3
RXRA	FOXP3
SMAD3	FOXP3
SMARCE1	FOXP3
FZD10	FRZB
FZD3	FRZB
WNT3	FRZB
WNT2B	FRZB
WNT7B	FRZB
ROR2	FZD10
WNT3	FZD10
WNT2B	FZD10
WNT7B	FZD10
ROR2	FZD3
WNT3	FZD3
WNT2B	FZD3
WNT7B	FZD3
PRKAG3	G6PC2
MUC12	GALNT2
MUC12	GALNT4
IFNA17	GHR
IFNA2	GHR
IL2	GHR
IL5	GHR
IRS2	GHR
GJA9	GJA3
GJB6	GJA3
GJB7	GJA3
GJB7	GJA9
GJB7	GJB6
NEU4	GLB1
GNAZ	GNAI1
GNB5	GNAI1
GPR55	GNAI1
KCNJ6	GNAI1
MAPK11	GNAI1
MMP16	GNAI1
MMP17	GNAI1
NPY2R	GNAI1
PIK3R6	GNAI1
RGS19	GNAI1
RGS7	GNAI1
S1PR1	GNAI1
SMO	GNAI1
HRH4	GNAI1
GPR143	GNAI1
SCN1A	GNAI1
TAS2R1	GNAI1
TAS2R19	GNAI1
TAS2R20	GNAI1
TAS2R31	GNAI1
TAS2R38	GNAI1
TAS2R39	GNAI1
TAS2R46	GNAI1
TAS2R5	GNAI1
TAS2R50	GNAI1
S1PR1	GNAZ
SMO	GNAZ
KCNJ6	GNB5
MAPK11	GNB5
PDE6A	GNB5
PDE6C	GNB5
PIK3R6	GNB5
PRKAG3	GNB5
RASGRF2	GNB5
RGS7	GNB5
RRAS2	GNB5
SCN1A	GNB5
LPL	GPIHBP1
GPR65	GPR55
SMAD3	GPR65
HOXA1	GPS2
RXRA	GPS2
TGS1	GPS2
MAP3K1	GRAP2
VAV1	GRAP2
WAS	GRAP2
ZAP70	GRAP2
GRIN2B	GRIK5
GRIN2C	GRIK5
KIF17	GRIN2B
LIN7A	GRIN2B
RASGRF2	GRIN2B
GSTM5	GSTM3
RXRA	GTSF1
HIST1H2BB	H2AFX
HIST2H2AB	H2AFX
HIST2H2BF	H2AFX
MND1	H2AFX
PSMB3	H2AFX
RPS27A	H2AFX
UBC	H2AFX
UBE2N	H2AFX
HIST1H2BB	H3F3C
HIST1H2BC	H3F3C
HIST1H2BM	H3F3C
HIST1H4G	H3F3C
HIST2H2BF	H3F3C
MYC	HES5
NOTCH2	HES5
ABCG2	HIF1A
ANGPT2	HIF1A
APLN	HIF1A
BCL2L1	HIF1A
CCL2	HIF1A
CEACAM5	HIF1A
EPO	HIF1A
ID2	HIF1A
LGALS1	HIF1A
MYC	HIF1A
NDRG2	HIF1A
NOS2	HIF1A
NPAS2	HIF1A
NR4A3	HIF1A
NTN1	HIF1A
PSMB3	HIF1A
RELA	HIF1A
RORC	HIF1A
RPS27A	HIF1A
RRAS2	HIF1A
SIRT6	HIF1A
SMAD3	HIF1A
SREBF1	HIF1A
UBC	HIF1A
UBE2D1	HIF1A
VEGFC	HIF1A
HIST1H4G	HIST1H2BB
HIST2H2AA3	HIST1H2BB
HIST2H2AB	HIST1H2BB
HIST2H2BF	HIST1H2BB
RPS27A	HIST1H2BB
UBC	HIST1H2BB
HIST1H4G	HIST1H2BC
HIST1H4G	HIST1H2BM
HIST2H2BF	HIST1H4G
HIST2H2BF	HIST2H2AA3
HIST2H2BF	HIST2H2AB
PSMB3	HIVEP3
RPS27A	HIVEP3
UBC	HIVEP3
RUNX1	HLF
IL12RB2	HLX
NLGN1	HOMER2
RARG	HOXA1
RXRA	HOXA1
SMAD3	HOXA13
RELA	HSPA4
MAPK11	HSPB2
MYC	ID1
RXRA	ID1
ID4	ID2
OLIG2	ID2
PKD2	ID2
OLIG2	ID4
IFNA2	IFNA17
IL12RB2	IFNA17
IL2RB	IFNA17
IL3RA	IFNA17
IL7R	IFNA17
NFATC2	IFNA17
OSMR	IFNA17
RELA	IFNA17
IL12RB2	IFNA2
IL2RB	IFNA2
IL3RA	IFNA2
IL7R	IFNA2
NFATC2	IFNA2
OSMR	IFNA2
REL	IFNA2
RELA	IFNA2
IRS2	IGF1
IGFBP6	IGF1
IL2	IL12RB2
IL2RB	IL12RB2
IL3RA	IL12RB2
IL5	IL12RB2
NFATC2	IL12RB2
NOS2	IL12RB2
RELA	IL12RB2
IL2RB	IL2
IL3RA	IL2
IL7R	IL2
IRS2	IL2
MAP2K1	IL2
MAPK11	IL2
NFATC2	IL2
OSMR	IL2
PTK2B	IL2
REL	IL2
RELA	IL2
IL3RA	IL2RB
IL5	IL2RB
IRS2	IL2RB
MAP2K1	IL2RB
MAPK11	IL2RB
PTK2B	IL2RB
IL5	IL3RA
IL7R	IL5
NFATC2	IL5
OSMR	IL5
RELA	IL5
IRS2	IL7R
LPXN	IL7R
PRDX2	IL7R
VAV1	IL7R
PIK3R6	IRS2
SREBF1	IRS2
VAV1	IRS2
ITGB4	ITGAE
ITGB6	ITGAE
PTK2B	ITGAE
LAMC1	ITGB4
LAMC2	ITGB4
PTK2B	ITGB4
SEMA7A	ITGB4
TNN	ITGB4
LAMC1	ITGB6
LAMC2	ITGB6
PTK2B	ITGB6
SEMA7A	ITGB6
TNN	ITGB6
NOTCH2	JAG1
RPS27A	JAG1
UBC	JAG1
KCNV2	KCNC1
KCNQ1	KCNE3
KCNV2	KCNF1
KCNJ6	KCNJ14
LIN7A	KIF17
MICA	KIR2DS1
RAET1G	KIR2DS1
MICA	KIR2DS5
RAET1G	KIR2DS5
NDRG2	KLF4
OCLN	KLF4
GPA33	KLF4
KRT81	KRT14
KRT81	KRT18
MAP2K1	KSR2
MMP20	LAMC2
UBE2N	LGALS1
PPFIA2	LIN7A
RXRA	LPL
PTK2B	LPXN
SIX5	MACC1
MAP3K1	MAP2K1
MAPK11	MAP2K1
NTN1	MAP2K1
TRIB2	MAP2K1
MAPK11	MAP3K1
RELA	MAP3K1
RRAS2	MAP3K1
MARVELD3	MAP3K1
MYC	MAPK11
NFATC2	MAPK11
NOS2	MAPK11
RELA	MAPK11
RORC	MAPK11
SMAD3	MAPK11
SPAG9	MAPK11
ZAP70	MAPK11
MARVELD3	MARVELD2
SERPING1	MASP1
UBE2N	MKRN3
S1PR1	MSX1
SIX3	MSX1
NACC2	MTA3
NOTCH2	MTA3
NR2E1	MTA3
NR4A3	MTA3
SIX3	MTA3
SNAI3	MTA3
PIK3C2B	MTMR7
PIP4K2A	MTMR7
PLCE1	MTMR7
ATP6V1G2	MYC
CEACAM5	MYC
HIF1A	MYC
HSPA4	MYC
ID2	MYC
IL2	MYC
MGST1	MYC
MST1	MYC
NTN3	MYC
PRTN3	MYC
RELA	MYC
RPL11	MYC
RPL3	MYC
RXRA	MYC
SIM2	MYC
SIRT6	MYC
SMAD3	MYC
TEAD1	MYC
TPM2	MYC
VEGFC	MYC
TBRG4	MYC
ZNF281	MYC
DLEU2	MYC
HIST2H4A	MYC
MTERF	MYC
SLC1A5	MYC
UCP3	MYC
MYLK	MYH11
MYLPF	MYH11
RHOB	MYH11
TPM2	MYH11
MYLPF	MYLK
TPM2	MYLPF
RAB27A	MYRIP
RPL24	NACA
RPS27A	NACA
UNC80	NALCN
SIM2	NEUROD2
CD40LG	NFATC2
FOXP3	NFATC2
IL2	NFATC2
IL5	NFATC2
NOTCH2	NFATC2
PPP3R2	NFATC2
RUNX1	NFATC2
VAV1	NFATC2
RHOB	NGEF
REL	NOS2
RELA	NOS2
RELA	NOTCH2
RPS27A	NOTCH2
UBC	NOTCH2
RORC	NPAS2
RXRA	NPAS2
TGS1	NPAS2
NR5A1	NR2E3
NR5A2	NR2E3
RXRA	NR2E3
SUPT4H1	NR2E3
RELA	NR4A3
RXRA	NR4A3
SIX3	NR4A3
CYP17A1	NR5A1
NR5A2	NR5A1
PRDM14	NR5A1
SREBF1	NR5A1
RPS27A	NRIP2
UBC	NRIP2
RAB3IP	ODF2
RELA	PAWR
PCDHA11	PCDHA1
PCDHA3	PCDHA1
PCDHAC2	PCDHA1
PCDHB10	PCDHA1
PCDHGC5	PCDHA1
PCDHA11	PCDHA10
PCDHA3	PCDHA10
PCDHA3	PCDHA11
PCDHAC2	PCDHA11
PCDHB10	PCDHA11
PCDHGC5	PCDHA11
PCDHAC2	PCDHA3
PCDHB10	PCDHA3
PCDHGC5	PCDHA3
PCDHB10	PCDHAC2
PCDHGC5	PCDHAC2
PCDHGC5	PCDHB10
PLCE1	PIK3C2B
PTK2B	PIK3C2B
UBC	PIK3C2B
PLCE1	PIP4K2A
SREBF1	PKLR
PLA2R1	PLA2G2F
UBE2D1	PLAT
RRAS2	PLCE1
RHOB	PLEKHG5
PRKAG3	PLIN1
RXRA	PLIN1
SEMA4D	PLXNB3
SEMA5A	PLXNB3
PPP3R2	PPP1R1A
GPC1	PRDM14
ISLR2	PRDM14
NFATC2	PRDM14
NGEF	PRDM14
NTN1	PRDM14
PLEKHG5	PRDM14
RUNX1	PRDM14
SIM2	PRDM14
SREBF1	PRDM14
CSMD2	PRDM14
FAM46B	PRDM14
SESN1	PRKAG3
SREBF1	PRKAG3
REL	PSMB3
RELA	PSMB3
RPS27A	PSMB3
TNFRSF13C	PSMB3
UBC	PSMB3
UBE2D1	PSMB3
UCHL5	PSMB3
WAS	PSTPIP1
VAV1	PTK2B
WDR75	PWP2
RXRA	RARG
TSHZ3	RARG
RHOB	RASGRF2
RRAS2	RASGRF2
CCL2	REL
CD40LG	REL
IL2	REL
RELA	REL
RPS27A	REL
TNIP2	REL
UBC	REL
BCL2L1	RELA
CCL11	RELA
CCL2	RELA
CD40LG	RELA
CSF1	RELA
HIF1A	RELA
IL2	RELA
MICA	RELA
MYC	RELA
NOS2	RELA
RNF25	RELA
RPS27A	RELA
RXRA	RELA
SIRT6	RELA
SMAD3	RELA
SMARCE1	RELA
SREBF1	RELA
TNIP2	RELA
UBC	RELA
UBE2D1	RELA
VAV1	RELA
VEGFC	RELA
ZDHHC13	RELA
VAV1	RGS19
SEMA4D	RHOB
SYDE2	RHOB
VAV1	RHOB
TUBB6	RILP
RPS27A	RNF213
UBC	RNF213
UBC	RNF25
RUNX1	RORC
SMAD3	RORC
UNC119B	RP2
RPL24	RPL11
RPL3	RPL11
RPS18	RPL11
RPS27A	RPL11
SSR1	RPL11
UPF2	RPL11
RPL3	RPL24
RPS18	RPL24
RPS27A	RPL24
SSR1	RPL24
UPF2	RPL24
RPS18	RPL3
RPS27A	RPL3
SSR1	RPL3
UPF2	RPL3
RPS18	RPP30
RPS27A	RPP30
RPS27A	RPS18
SSR1	RPS18
UPF2	RPS18
RSPO3	RPS27A
RSPO4	RPS27A
SMAD3	RPS27A
SPRY1	RPS27A
SSR1	RPS27A
TLE2	RPS27A
TNIP2	RPS27A
UBC	RPS27A
UBE2D1	RPS27A
UBE2N	RPS27A
UCHL5	RPS27A
UPF2	RPS27A
USP1	RPS27A
VDAC1	RPS27A
SMAD3	RRAS2
UBC	RSPO3
UBC	RSPO4
HIVEP3	RUNX1
IL2	RUNX1
RORC	RUNX1
SMAD3	RUNX1
SMARCE1	RXRA
SREBF1	RXRA
TGS1	RXRA
UBC	RXRA
VWDE	RXRA
SNTB1	SCN4A
SNTB1	SCN5A
SPTBN5	SCN5A
SDC4	SDC3
TNN	SDC4
SESN1	SEH1L
SKA2	SEH1L
SPC25	SEH1L
THOC3	SEH1L
SMAD3	SERTAD1
SLAMF1	SH2D1B
TLE2	SIX3
SPC25	SKA2
BGLAP	SMAD3
CYP17A1	SMAD3
EPO	SMAD3
FOXP3	SMAD3
FSTL3	SMAD3
MYC	SMAD3
UBC	SMAD3
UBE2D1	SMAD3
ZNF823	SMAD3
UBC	SPRY1
IRS2	SREBF1
NPC1	SREBF1
TGS1	SREBF1
ZNFX1	SREBF1
PCYT2	SREBF1
UBC	TLE2
UBC	TMEM160
UBC	TNIP2
TTN	TPM2
TULP3	TTC21B
TUBB6	TUBA4B
UBE2D1	UBC
UBE2N	UBC
UCHL5	UBC
USP1	UBC
VDAC1	UBC
UBE2N	UBE2D1
WAS	VAV1
ZAP70	VAV1
ZAP70	WAS
WNT3	WLS
WNT7B	WLS
